[2023-12-21 20:23:01,745: INFO: main: Welcome to our custom log]
[2024-03-17 20:40:47,495: INFO: main: Checking logging]
[2024-03-17 20:44:27,640: INFO: main: Checking logging]
[2024-03-18 09:44:03,010: INFO: main: Checking logging]
[2024-03-18 10:37:24,055: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-18 10:37:24,055: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-18 10:37:24,063: INFO: common: created directory at: artifacts]
[2024-03-18 10:37:24,063: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-18 10:37:24,066: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1HybvZwxgFKxNTrizz4fwx_BmbeI7ioLe/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-18 10:37:38,738: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1HybvZwxgFKxNTrizz4fwx_BmbeI7ioLe/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-18 11:09:48,713: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-18 11:09:48,729: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-18 11:09:48,729: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-18 11:09:48,734: INFO: common: created directory at: artifacts]
[2024-03-18 11:09:48,734: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-18 11:09:48,734: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1HybvZwxgFKxNTrizz4fwx_BmbeI7ioLe/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-18 11:10:03,034: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1HybvZwxgFKxNTrizz4fwx_BmbeI7ioLe/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-18 11:10:03,601: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x**************x]
